matrix_cnt,process_count,time
1,1,0.007483005523681641
1,2,0.012877941131591797
1,4,0.01068258285522461
1,6,0.010479927062988281
1,8,0.03399372100830078
1,10,0.03229808807373047
1,12,0.03944683074951172
1,16,0.0629265308380127
1,24,0.0767662525177002
1,32,0.15305781364440918
1,48,0.27306032180786133
1,64,0.27747130393981934
1,128,0.8656115531921387
2,1,0.0033745765686035156
2,2,0.003709077835083008
2,4,0.006245613098144531
2,6,0.03627347946166992
2,8,0.042787790298461914
2,10,0.027054309844970703
2,12,0.029572725296020508
2,16,0.09476161003112793
2,24,0.09971499443054199
2,32,0.12632036209106445
2,48,0.13258767127990723
2,64,0.34816837310791016
2,128,0.7740128040313721
3,1,0.004668235778808594
3,2,0.011980056762695312
3,4,0.003814220428466797
3,6,0.023237943649291992
3,8,0.04333376884460449
3,10,0.041754961013793945
3,12,0.038973331451416016
3,16,0.05742454528808594
3,24,0.052063941955566406
3,32,0.12842059135437012
3,48,0.18984675407409668
3,64,0.35047459602355957
3,128,0.6884722709655762
4,1,0.005196332931518555
4,2,0.004240274429321289
4,4,0.013505220413208008
4,6,0.040372371673583984
4,8,0.04311800003051758
4,10,0.019625425338745117
4,12,0.01873159408569336
4,16,0.07602643966674805
4,24,0.0952754020690918
4,32,0.15059995651245117
4,48,0.2093515396118164
4,64,0.26288604736328125
4,128,0.8413593769073486
5,1,0.0025818347930908203
5,2,0.0038232803344726562
5,4,0.026537418365478516
5,6,0.04879951477050781
5,8,0.054961442947387695
5,10,0.05006980895996094
5,12,0.034548282623291016
5,16,0.04201674461364746
5,24,0.06538915634155273
5,32,0.13634467124938965
5,48,0.230238676071167
5,64,0.2951350212097168
5,128,0.7618391513824463
6,1,0.0017504692077636719
6,2,0.007302522659301758
6,4,0.023092031478881836
6,6,0.03578805923461914
6,8,0.04753279685974121
6,10,0.03426074981689453
6,12,0.04080772399902344
6,16,0.03488922119140625
6,24,0.05599808692932129
6,32,0.1415085792541504
6,48,0.2196485996246338
6,64,0.28600072860717773
6,128,0.7584142684936523
7,1,0.0014579296112060547
7,2,0.002700328826904297
7,4,0.02580547332763672
7,6,0.02650165557861328
7,8,0.0190432071685791
7,10,0.019917726516723633
7,12,0.05878949165344238
7,16,0.06432628631591797
7,24,0.11346054077148438
7,32,0.09633016586303711
7,48,0.20439934730529785
7,64,0.3492262363433838
7,128,0.8113253116607666
8,1,0.002927064895629883
8,2,0.0044403076171875
8,4,0.012406587600708008
8,6,0.03220367431640625
8,8,0.05727243423461914
8,10,0.06750154495239258
8,12,0.02736043930053711
8,16,0.03376460075378418
8,24,0.0996711254119873
8,32,0.1559460163116455
8,48,0.1995985507965088
8,64,0.27826595306396484
8,128,0.8088316917419434
9,1,0.0020537376403808594
9,2,0.001996278762817383
9,4,0.009587764739990234
9,6,0.05354475975036621
9,8,0.0067806243896484375
9,10,0.031777143478393555
9,12,0.023131608963012695
9,16,0.04955005645751953
9,24,0.0955655574798584
9,32,0.15239238739013672
9,48,0.22068285942077637
9,64,0.29222750663757324
9,128,0.7502965927124023
10,1,0.003555774688720703
10,2,0.00627446174621582
10,4,0.025571823120117188
10,6,0.05247759819030762
10,8,0.06821036338806152
10,10,0.07337069511413574
10,12,0.05035567283630371
10,16,0.05382537841796875
10,24,0.11282610893249512
10,32,0.1429610252380371
10,48,0.18561196327209473
10,64,0.32541561126708984
10,128,0.7361810207366943
11,1,0.0010559558868408203
11,2,0.006139993667602539
11,4,0.0034418106079101562
11,6,0.021627187728881836
11,8,0.03173327445983887
11,10,0.03379940986633301
11,12,0.047138214111328125
11,16,0.027552127838134766
11,24,0.08590388298034668
11,32,0.13445115089416504
11,48,0.22771525382995605
11,64,0.3258018493652344
11,128,0.7612278461456299
